UBICACIÓN;ID BARRIO;MACRO ZONA
Norte >> Chico;ANTIGUO COUNTRY;Azul
Chapinero >> Chapinero Alto;BELLAVISTA;Azul
Norte >> Chico;CHICO NORTE;Azul
Norte >> Chico;CHICO NORTE II SECTOR;Azul
Norte >> Chico;CHICO NORTE III SECTOR;Azul
Norte >> Chico;EL CHICO;Azul
Norte >> Chico;EL NOGAL;Azul
Norte >> Chico;EL REFUGIO;Azul
Norte >> Chico;EL RETIRO;Azul
Chapinero >> Chapinero Alto;EMAUS;Azul
Norte >> Chico;LA CABRERA;Azul
Chapinero >> Chapinero Alto;LAS ACACIAS;Azul
Chapinero >> Chapinero Alto;LOS ROSALES;Azul
>>;SEMINARIO;Azul
Norte >> Orquideas;BOSQUE DE PINOS I;Azul
Norte >> Country;GINEBRA;Amarillo
Norte >> Country;LA CAROLINA;Amarillo
Norte >> Santa B?rbara;MOLINOS NORTE;Amarillo
Norte >> Santa B?rbara;RINCON DEL CHICO;Amarillo
Norte >> Santa B?rbara;SAN GABRIEL NORTE;Amarillo
Norte >> Santa B?rbara;SAN PATRICIO;Amarillo
Norte >> Santa B?rbara;SANTA BARBARA CENTRAL;Amarillo
Norte >> Santa B?rbara;SANTA BARBARA OCCIDENTAL;Amarillo
Norte >> Santa B?rbara;SANTA BIBIANA;Amarillo
;SANTA BARBARA ORIENTAL;Amarillo
;LA CALLEJA;Amarillo
;SANTA BARBARA;Amarillo
;GRANADA;Naranja
;CHAPINERO NORTE;Naranja
;MARIA CRISTINA;Naranja
;LA SALLE;Naranja
;INGEMAR ORIENTAL;Naranja
;INGEMAR;Naranja
;PARDO RUBIO;Naranja
;BOSQUE CALDERON;Naranja
